iter	MultiClass
0	0.9510550466
1	0.8888077162
2	0.843913765
3	0.8247899309
4	0.81826312
5	0.8156923867
6	0.8148699303
7	0.8141218251
8	0.8112229493
9	0.807280311
10	0.805836841
11	0.8053888158
12	0.8032292746
13	0.802791974
14	0.8018634067
15	0.8010441239
16	0.8005856915
17	0.8004226506
18	0.7999543491
19	0.7986259387
20	0.798064262
21	0.7977524547
22	0.7973758833
23	0.7968685352
24	0.7965071354
25	0.7962473116
26	0.7961666195
27	0.7956972349
28	0.7953773131
29	0.7941923372
30	0.793895302
31	0.7936327309
32	0.7935622328
33	0.7934823642
34	0.7931470419
35	0.7914157848
36	0.7912477523
37	0.7911790147
38	0.7906879022
39	0.7904652921
40	0.7900955145
41	0.7899851882
42	0.7891628395
43	0.7890838732
44	0.7888302804
45	0.7886285689
46	0.788344132
47	0.7882154637
48	0.7878141237
49	0.7873809468
50	0.787103806
51	0.7867649416
52	0.7865844044
53	0.7862629585
54	0.7862304597
55	0.7859639312
56	0.7859458404
57	0.7857540178
58	0.7857112367
59	0.7855175659
60	0.7853016941
61	0.7847167306
62	0.784664853
63	0.784658097
64	0.7843815184
65	0.784174404
66	0.7828213519
67	0.782644956
68	0.7823047106
69	0.7821769845
70	0.7820608683
71	0.7820339772
72	0.781940259
73	0.7817688163
74	0.7815747227
75	0.7815434602
76	0.781208228
77	0.7811429859
78	0.7810192299
79	0.7809884164
80	0.7808731836
81	0.7807779807
82	0.7807293193
83	0.7805093145
84	0.7802873915
85	0.780210781
86	0.7801313193
87	0.7798800014
88	0.7798712017
89	0.7797956635
90	0.7797526343
91	0.7796170391
92	0.7795884295
93	0.7795536619
94	0.779527508
95	0.779338178
96	0.7784077118
97	0.7783969369
98	0.7783862528
99	0.7783647396
100	0.7783618481
101	0.7783563323
102	0.7783178961
103	0.7776585685
104	0.7775539632
105	0.7770788044
106	0.776981157
107	0.7767592193
108	0.776671845
109	0.7766437572
110	0.7765706865
111	0.7765682271
112	0.7764639219
113	0.7764440299
114	0.776416973
115	0.7763411948
116	0.7762119653
117	0.7761022735
118	0.7760687142
119	0.7760460291
120	0.7759399828
121	0.7758199114
122	0.7757950506
123	0.7756769239
124	0.7756358169
125	0.7755937956
126	0.7755456958
127	0.7754669396
128	0.7754491111
129	0.7754085522
130	0.7747978014
131	0.7747616883
132	0.7747020003
133	0.7746955695
134	0.774649739
135	0.7745778668
136	0.7744414797
137	0.7744272324
138	0.774409602
139	0.7744075545
140	0.7743822871
141	0.7743214128
142	0.7742435395
143	0.7741934585
144	0.7741639335
145	0.773965371
146	0.7738834298
147	0.7738601062
148	0.7737904117
149	0.7737747448
150	0.7737719382
151	0.7733417124
152	0.7733204202
153	0.7733114999
154	0.7733011791
155	0.7732283323
156	0.7731966477
157	0.7731838746
158	0.7731550677
159	0.773140282
160	0.7730912247
161	0.7730850265
162	0.7730340387
163	0.7730133549
164	0.772997987
165	0.7728461659
166	0.772838948
167	0.7728371408
168	0.7727462437
169	0.7727430251
170	0.7726455559
171	0.7725652828
172	0.7725541121
173	0.7725328736
174	0.7725315386
175	0.7725118035
176	0.7725029943
177	0.7724751635
178	0.7724586
179	0.7724180842
180	0.7723753062
181	0.7723633348
182	0.7723559879
183	0.7722872764
184	0.7722795581
185	0.7722697145
186	0.7722167548
187	0.7721402453
188	0.7721085007
189	0.7721022627
190	0.7720966838
191	0.7720801582
192	0.7720445457
193	0.7720412587
194	0.771992637
195	0.7719518704
196	0.7719161398
197	0.7717868444
198	0.7717813245
199	0.7717621535
200	0.7717593993
201	0.7717349957
202	0.77172859
203	0.7716777002
204	0.7716261082
205	0.7715884425
206	0.7715465246
207	0.7712610885
208	0.7712490635
209	0.7712260322
210	0.7711904783
211	0.7711231013
212	0.7711023012
213	0.770977735
214	0.7709591117
215	0.7709574556
216	0.7709519951
217	0.7709476484
218	0.7709129043
219	0.7708347555
220	0.7707683603
221	0.7707610167
222	0.7707148127
223	0.7705782778
224	0.7704940234
225	0.7703864472
226	0.7703274779
227	0.7703086986
228	0.7703068159
229	0.7699946815
230	0.7699246743
231	0.7698409894
232	0.7698310221
233	0.7698275828
234	0.7697574083
235	0.7696936932
236	0.7696802989
237	0.7696591328
238	0.7695843824
239	0.7693926816
240	0.7690583095
241	0.7690483278
242	0.7690421338
243	0.7689698208
244	0.7688919758
245	0.7688879501
246	0.7688829848
247	0.7688751674
248	0.7688748574
249	0.7688670558
250	0.7688486188
251	0.7688427271
252	0.7688011181
253	0.7687623498
254	0.7687492893
255	0.7687181994
256	0.7687017146
257	0.7686648015
258	0.7686616707
259	0.7686587113
260	0.768642358
261	0.7686358914
262	0.7686352135
263	0.7686331631
264	0.7686224083
265	0.7685912738
266	0.7685905873
267	0.7685343779
268	0.7684945534
269	0.7684847593
270	0.7684537883
271	0.7683763356
272	0.7683738489
273	0.7683355108
274	0.7683081901
275	0.7682913882
276	0.7682756871
277	0.7682407903
278	0.7682401811
279	0.7680855133
280	0.7680515441
281	0.7680498811
282	0.7680348006
283	0.7680086451
284	0.7679982554
285	0.7679871826
286	0.7679493925
287	0.7679483221
288	0.7678965365
289	0.7678816456
290	0.7678032522
291	0.7677402538
292	0.7676760511
293	0.7676695942
294	0.7676423622
295	0.7676309679
296	0.7676059629
297	0.7676042913
298	0.7675740588
299	0.7675716519
300	0.7675693782
301	0.7675673422
302	0.7675347103
303	0.767479929
304	0.767470409
305	0.7674422173
306	0.7674322071
307	0.7674266733
308	0.7674259312
309	0.7673867664
310	0.7673825304
311	0.7673416206
312	0.7673389805
313	0.7672882651
314	0.7672826552
315	0.7672526464
316	0.7670999674
317	0.7670977789
318	0.7670831017
319	0.7670449002
320	0.7670440393
321	0.767019668
322	0.7669701936
323	0.7669097067
324	0.7668812719
325	0.7668307264
326	0.7667745169
327	0.7667717023
328	0.7667405379
329	0.7667392463
330	0.7667172766
331	0.7667137059
332	0.76671042
333	0.7667077696
334	0.7666948507
335	0.7666944108
336	0.7666833479
337	0.7666804426
338	0.7666472708
339	0.7665854951
340	0.7665829396
341	0.766564908
342	0.7665499358
343	0.7665489768
344	0.7665281987
345	0.7665260675
346	0.7664928144
347	0.7664500755
348	0.7664488358
349	0.7663457104
350	0.7663142358
351	0.7662732375
352	0.7662307323
353	0.7662203609
354	0.7662189768
355	0.7661682349
356	0.7661619598
357	0.7661470914
358	0.7660926077
359	0.7660760084
360	0.7660741455
361	0.7660735692
362	0.7660507516
363	0.7660378976
364	0.7660353984
365	0.7660330377
366	0.7660308023
367	0.7660289137
368	0.7660245183
369	0.7660170185
370	0.7659823676
371	0.765961505
372	0.7659601853
373	0.7659585511
374	0.7659534984
375	0.7658846859
376	0.765850029
377	0.7658498586
378	0.7658490499
379	0.7658428019
380	0.7657650837
381	0.7657614331
382	0.7657488613
383	0.7657436689
384	0.7657425203
385	0.7657416373
386	0.7657242644
387	0.7657124571
388	0.7656961921
389	0.7656706029
390	0.7656542004
391	0.7656518159
392	0.7656420217
393	0.76559425
394	0.7655122156
395	0.7655112624
396	0.7655083459
397	0.7655026601
398	0.7655019864
399	0.7654243704
400	0.765376882
401	0.7653729257
402	0.765315453
403	0.7653115941
404	0.7653089427
405	0.7653078402
406	0.7653037397
407	0.7653014369
408	0.7652815716
409	0.7652480566
410	0.7652459531
411	0.7652285707
412	0.7652139347
413	0.7652107079
414	0.7652075766
415	0.7652074659
416	0.7652026103
417	0.765114506
418	0.7651117758
419	0.7651061719
420	0.7651048158
421	0.7650835181
422	0.7650719981
423	0.7650663809
424	0.7650553023
425	0.7650527482
426	0.7648661197
427	0.7648529972
428	0.7648299642
429	0.7647591175
430	0.7647537605
431	0.7647422944
432	0.7647401917
433	0.7647335487
434	0.764732859
435	0.7646736141
436	0.7646086993
437	0.7646049092
438	0.7646000083
439	0.7645899657
440	0.7645883311
441	0.7645489268
442	0.764527642
443	0.7645255269
444	0.7645160727
445	0.7645133847
446	0.7645107705
447	0.7644421285
448	0.7644355006
449	0.7644340533
450	0.7644059948
451	0.7644049066
452	0.7643999226
453	0.7643967107
454	0.7643588668
455	0.7643556693
456	0.7643479744
457	0.7643458255
458	0.7643453114
459	0.7643452658
460	0.7643449497
461	0.7643189771
462	0.7642353912
463	0.7642318358
464	0.7642106785
465	0.7642060253
466	0.7642017015
467	0.7642008854
468	0.7641982249
469	0.7641962962
470	0.7639943978
471	0.7639914826
472	0.7639898326
